businessName,normalizedName,projects,pipelineProjects,recentProjects,latestApplication,latestCompletion,cities,counties,targetScore,nextStep,clearbitQuery,candidateDomain,candidateUrl,candidateTitle,candidateSnippet,discoveryStatus,discoveryError,homepageUrl,careerUrls,detailJobUrls,careerPageFound,atsDetected,jobPostingDetected,detailedJobCount,auditStatus,auditNote
"Community Power Group, LLC","community power group","3","3","2","2025-12-10","","Fort Edward | Arkport","Washington | Steuben","33","Find official domain, then audit careers/jobs pages for detailed solar offers.","community power group","communitypowergroup.com","https://communitypowergroup.com","Community Power Group","","candidate_found","","https://communitypowergroup.com/","","","false","false","false","0","rejected_no_career_page","No provider-hosted Careers/Jobs link found on homepage."
"CleanChoice Energy","cleanchoice energy","3","3","2","2025-12-10","","Little Falls | Clymer | Wellsville","Herkimer | Chautauqua | Allegany","33","Find official domain, then audit careers/jobs pages for detailed solar offers.","cleanchoice energy","cleanchoiceenergy.com","https://cleanchoiceenergy.com","CleanChoice Energy","","candidate_found","","","","","false","false","false","0","audit_error","Homepage could not be fetched as HTML."
"CVE North America, Inc.","cve north america","14","3","1","2024-02-28","2025-04-09","Troy | Queensbury | Manlius | Albion | Sanborn | Brockport | Ransomville | Fredonia","Rensselaer | Warren | Onondaga | Orleans | Niagara | Monroe | Chautauqua","41","Find official domain, then audit careers/jobs pages for detailed solar offers.","cve north america","cvenorthamerica.com","https://cvenorthamerica.com","CVE North America","","candidate_found","","https://www.cvenorthamerica.com/","https://www.cvenorthamerica.com/careers/","","true","false","false","0","rejected_insufficient_detailed_jobs","Found 0 detailed job page(s); requires at least 3."
"New Leaf Energy, Inc.","new leaf energy","3","3","1","2023-11-04","","Worcester | Mc Donough","Otsego | Chenango","30","Find official domain, then audit careers/jobs pages for detailed solar offers.","new leaf energy","newleafenergy.com","https://newleafenergy.com","New Leaf Energy","","candidate_found","","https://www.newleafenergy.com/","https://www.newleafenergy.com/careers","","true","false","false","0","rejected_insufficient_detailed_jobs","Found 0 detailed job page(s); requires at least 3."
"Source Renewables LLC","source renewables","3","3","1","2025-12-10","","Homer | Buffalo","Cortland | Erie","30","Find official domain, then audit careers/jobs pages for detailed solar offers.","source renewables","sourcerenew.com","https://sourcerenew.com","Source Renewables","","candidate_found","","https://sourcerenew.com/","https://sourcerenew.com/careers","","true","false","false","0","rejected_insufficient_detailed_jobs","Found 0 detailed job page(s); requires at least 3."
"EVERGREEN ENERGY","evergreen energy","11","2","6","2026-01-21","2026-05-26","Brooklyn | Maspeth | Goshen | Lake Katrine","Kings | Queens | Orange | Ulster","45","Find official domain, then audit careers/jobs pages for detailed solar offers.","evergreen energy","evergreen-energy.com","https://evergreen-energy.com","Evergreen Energy","","candidate_found","","","","","false","false","false","0","audit_error","Homepage could not be fetched as HTML."
"Zuvan Renewables","zuvan renewables","3","2","3","2026-05-06","2025-09-30","Brooklyn | Bronx","Kings | Bronx","28","Find official domain, then audit careers/jobs pages for detailed solar offers.","zuvan renewables","zuvanrenewables.com","https://zuvanrenewables.com","Zuvan Renewables","","candidate_found","","https://www.zuvanrenewables.com/","https://www.zuvanrenewables.com/careers","","true","false","false","0","rejected_insufficient_detailed_jobs","Found 0 detailed job page(s); requires at least 3."
"DG New York CS, LLC","dg new york cs","59","2","1","2023-11-29","2026-05-19","Otisville | Middletown | New Hampton | Hudson | Schaghticoke | Altamont | Troy | Clayton","Orange | Columbia | Rensselaer | Albany | Jefferson | Essex | Cortland | Onondaga","69","Find official domain, then audit careers/jobs pages for detailed solar offers.","new york","nypost.com","https://nypost.com","New York Post","","candidate_found","","https://nypost.com/","https://nypost.com/2026/08/25/business/better-com-ceo-gushed-over-ousted-founder-before-replacing-him-in-top-job-filing-says/|https://nypost.com/2026/08/25/sports/raiders-rookie-fernando-mendoza-may-still-steal-week-1-job-from-kirk-cousins/|https://nypost.com/2026/08/24/opinion/rob-bonta-stop-toying-with-california-jobs/","https://nypost.com/tag/jobs/","true","false","false","1","rejected_insufficient_detailed_jobs","Found 1 detailed job page(s); requires at least 3."
"Empire Solar Solutions, LLC","empire solar solutions","4392","1","2393","2026-04-29","2026-07-28","Ancram | Mattituck | Selden | Ridge | Holbrook | East Hampton | Hampton Bays | Mastic Beach","Columbia | Suffolk | Queens | Nassau | Kings | Richmond | Bronx | Westchester","7237","Find official domain, then audit careers/jobs pages for detailed solar offers.","empire solar solutions","empiresolarny.com","https://empiresolarny.com","Empire Solar Solutions","","candidate_found","","https://empiresolarny.com/","","","false","false","false","0","rejected_no_career_page","No provider-hosted Careers/Jobs link found on homepage."
"Brooklyn SolarWorks, LLC","brooklyn solarworks","2998","1","1356","2026-05-20","2026-07-30","Queens | Brooklyn | MASPETH | BROOKLYN | Bayside | Flushing | Richmond Hill | Far Rockaway","Queens | Kings | Richmond | New York | Bronx","4126","Find official domain, then audit careers/jobs pages for detailed solar offers.","brooklyn solarworks","brooklynsolarworks.com","https://brooklynsolarworks.com","Brooklyn SolarWorks","","candidate_found","","","","","false","false","false","0","audit_error","Homepage could not be fetched as HTML."
