licenseNumber,businessName,cityStateZip,candidateDomain,matchedCompanyName,confidenceScore,status,error
39183,SOLAR TECH INNOVATIONS LLC,BENBROOK TX 76126-3724,,,,no_domain_candidate,
28922,SOLAR TEK ENERGY,KYLE TX 78640-5333,,,,no_domain_candidate,
35546,SOLSTICE SOLAR LLC,HOUSTON TX 77040,solstice-solar.com,Solstice Solar,99,candidate_found,
29074,SOUTH COAST SOLAR LLC,METAIRIE LA 70002-6036,southcoastsolar.com,South Coast Solar,99,candidate_found,
34875,"SPACE CITY SOLAR, LLC.",HOUSTON TX 77066-1007,,,,no_domain_candidate,
39434,SPARTAN SOLAR & ELECTRIC LLC,WEATHERFORD TX 76087-7308,,,,no_domain_candidate,
41062,SPECTRUM SOLAR POWER LLC,WINTER PARK FL 32792-2541,spectrumsolarpower.com,Spectrum Solar Power,99,candidate_found,
38123,SPEKTRA LLC DBA SOLAR E TRIBE,PLANO TX 75024-3479,,,,no_domain_candidate,
37176,STATIC SOLAR LLC,RICHARDSON TX 75081,,,,no_domain_candidate,
38058,STEPHENS SOLAR SOLUTIONS,SAN ANTONIO TX 78216-3214,,,,no_domain_candidate,
39529,STRONG TOWER SOLAR ELC SRVS & GENERATORS,HUTTO TX 78634-5356,,,,no_domain_candidate,
40848,SUN CITY SOLAR SOLUTIONS,EL PASO TX 79938,,,,no_domain_candidate,
39213,SUNAURA SOLAR LLC,ADDISON TX 75001,gosunaura.com,Sunaura Solar,99,candidate_found,
34916,SUNCHARGE SOLAR LLC,AUSTIN TX 78747-3928,,,,no_domain_candidate,
38691,SUNCOR SOLAR & HOME IMPROVEMENT LLC,PENSACOLA FL 32534-1297,,,,no_domain_candidate,
39841,SUNCORE SOLAR L.L.C.,FOUNTAIN VALLEY CA 92708-5510,,,,no_domain_candidate,
38605,SUNDOWN SOLAR LLC,SAN ANTONIO TX 78250-2814,,,,no_domain_candidate,
34867,SUNERGY SOLAR LLC,NEW PORT RICHEY FL 34654,,Sunergy Solar Experts,88,ambiguous_match,
37131,SUNFIRE SOLAR SYSTEMS LLC,EL PASO TX 79912-4516,,,,no_domain_candidate,
39834,SUNFORCE SOLAR LLC,LAS CRUCES NM 88007,sunforce.solar,Sunforce Solar,99,candidate_found,
39627,SUNHUT SOLAR LLC,EL PASO TX 79912-4357,,,,no_domain_candidate,
35754,SUNUP SOLAR II LLC,SAN ANTONIO TX 78205,,,,no_domain_candidate,
32406,SYNAPTIC SOLAR LLC,RICHARDSON TX 75081-2334,synapticsolar.com,Synaptic Solar,99,candidate_found,
37118,TEX-SUN SOLAR SOLUTIONS LLC,JUSTIN TX 76247,,,,no_domain_candidate,
38897,TEXAN ELECTRIC & SOLAR SERVICES LLC,MANSFIELD TX 76063-3075,,,,no_domain_candidate,
34757,TEXAS DIRECT SOLAR LLC,HOUSTON TX 77023,texasdirectsolar.com,Texas Direct Solar,99,candidate_found,
34731,TEXAS ENGINEERED SOLAR LLC,SAN ANTONIO TX 78219,txensolar.com,Texas Engineered Solar,99,candidate_found,
39837,TEXAS SOLAR CONSULTANTS,PRINCETON TX 75407,,,,no_domain_candidate,
33580,TEXAS SOLAR GUYS LLC,BUDA TX 78610,texassolarguys.com,Texas Solar Guys,99,candidate_found,
37537,"TEXAS SOLAR PANIMALS, LLC.",FORNEY TX 75126-5124,,,,no_domain_candidate,
35727,TEXAS SOLAR PROFESSIONAL LLC,CEDAR HILL TX 75104-2656,texassolar.pro,Texas Solar Professional,99,candidate_found,
38164,TEXAS SOLAR SOLUTIONS LLC,FORT WORTH TX 76102-3524,,,,no_domain_candidate,
40042,"THE SOLAR MAINTENANCE GUYS, LLC",BEDFORD TX 76022,,,,no_domain_candidate,
38160,THS HOME SOLAR LLC,LEWISVILLE TX 75067-4183,,,,no_domain_candidate,
40091,TIER 1 SOLAR LLC,CORPUS CHRISTI TX 78401-1934,tier1.solar,Tier 1 Solar,99,candidate_found,
38437,"TOP TIER SOLAR SOLUTIONS, LLC",CHARLOTTE NC 28217-2911,toptiersolarsolutions.com,Top Tier Solar Solutions,99,candidate_found,
32259,TRISMART SOLAR LLC,HOUSTON TX 77073-6445,trismartsolar.com,TriSMART Solar,99,candidate_found,
37089,TRUE TEXAS SOLAR LLC,WILLIS TX 77318,truetexassolar.com,True Texas Solar,99,candidate_found,
39808,TRUHORIZON SOLAR INC.,WEATHERFORD TX 76085-3975,,,,no_domain_candidate,
39282,UNITED SOLAR & ROOFING,ROUND ROCK TX 78665-1591,,,,no_domain_candidate,
40788,USA SOLAR AND BATTERY,NORTH RICHLAND HILLS TX 76180,,,,no_domain_candidate,
38340,VANTAGE POINT SOLAR LLC,IRVING TX 75039,vantagepointsolar.com,Vantage Point Solar,99,candidate_found,
35152,"WEST TEXAS SOLAR, LLC",ABILENE TX 79601-6400,west-texas-solar.com,West Texas Solar,99,candidate_found,
36395,WHITE LABEL SOLAR SOLUTIONS,NEW BRAUNFELS TX 78130,,,,no_domain_candidate,
32917,WILL POWER SOLAR LLC,SAN ANTONIO TX 78251,,,,no_domain_candidate,
31269,WRIGHT SOLAR ENERGY L.L.C.,SAN ANTONIO TX 78257,wrightsolarenergy.com,WRIGHT SOLAR ENERGY LLC,99,candidate_found,
35983,WVW INVESTMENTS LLC DBA STARLIGHT SOLAR,HOUSTON TX 77045,,,,no_domain_candidate,
38384,YOGI SOLAR LLC,KATY TX 77494-5486,,,,no_domain_candidate,
38305,YOUR SOLAR LIAISON LLC,EDINBURG TX 78539-8018,,,,no_domain_candidate,
39689,ZEUS ELECTRIC AND SOLAR,SAN ANTONIO TX 78218-2504,,,,no_domain_candidate,
30564,A RENEWABLE ELECTRIC LLC,HOUSTON TX 77072-4203,,,,no_domain_candidate,
30973,"BIG DOG RENEWABLE ENERGY, LLC",CHUBBUCK ID 83202-4908,bigdogenergy.com,Big Dog Renewable Energy,99,candidate_found,
35493,CMS RENEWABLE LLC,GRAND PRAIRIE TX 75050,,,,no_domain_candidate,
29616,"ENPHASE ENERGY, INC.",FREMONT CA 94538-6517,enphase.com,Enphase Energy,99,candidate_found,
39097,HQCA CLEAN ENERGY SERVICES LLC,IRVINE CA 92618-5021,,,,no_domain_candidate,
32980,PRIMORIS RENEWABLE ENERGY INC,AURORA CO 80011-1551,,,,no_domain_candidate,
41097,RENEWABLE ENERGY BROKERS,BOWIE TX 76230,,,,no_domain_candidate,
35494,RENEWABLE ENERGY OF TEXAS LLC,SAN ANTONIO TX 78251,,,,no_domain_candidate,
33531,SUNSHINE RENEWABLE SOLUTIONS LLC,HOUSTON TX 77033,sunshinerenewable.com,Sunshine Renewable Solutions,99,candidate_found,
39795,SUNUS PRO - CLEAN ENERGY LLC,FORT WORTH TX 76109-4213,,,,no_domain_candidate,
