licenseNumber,businessName,cityStateZip,candidateDomain,sources,status
0057164,"TREASURE COAST SOLAR, LLC",STUART FL 34997,treasurecoastsolar.com,clearout,candidate_found
1263094,UNICITY SOLAR ENERGY LLC,TARPON SPRINGS FL 34689,unicitysolar.com,clearout,candidate_found
1268432,UNICITY SOLAR ENERGY LLC,ST. PETERSBURG FL 33714,unicitysolar.com,clearout,candidate_found
1330512,UNIVERSAL CONTRACTING & SOLAR,LEHIGH ACRES FL 33971,ucroof.com,clearout,candidate_found
1526610,UNIVERSAL CONTRACTING & SOLAR,FT. MYERS  FL 33913,ucroof.com,clearout,candidate_found
1335489,UNIVERSAL CONTRACTING & SOLAR,TALLAHASSEE FL 32312,ucroof.com,clearout,candidate_found
0056980,"UNIVERSAL SOLAR SERVICES, LLC",SUN CITY CENTER FL 33573,universalsolarservices.com,clearout,candidate_found
0056948,URBAN SOLAR LLC,BOCA RATON FL 33486,urbansolar.com,clearout,candidate_found
1257755,VELO SOLAR LLC,THOMSON GA 30824,velosolar.com,clearout,candidate_found
1334388,VIBRANT ROOF & SOLAR LLC,MYAKKA CITY FL 34251,thevibrantroof.com,clearout,candidate_found
1539044,CLEAN ENERGY ENTERPRISES INC.,ST. PETERSBURG FL 33714,cleanenergy.enterprises,clearout,candidate_found
0057327,"ENPHASE ENERGY, INC",GRASS VALLEY CA 95945,enphase.com,clearout,candidate_found
1456476,"RENEWABLE ENERGY SPECIALISTS, INC",APOPKA FL 32712,respecialists.com,clearout,candidate_found
0056905,"RENEWABLE ENERGY SPECIALISTS, INC",APOPKA FL 32712,respecialists.com,clearout,candidate_found
